"scenario","method","lambda","mse_mean","true_fdr_mean","est_fdr_mean","fdp_mean"
"independent","ncv0",0.150986129966773,1.57025557279926,0.0210822510822511,0.00615680615680616,0.0210822510822511
"independent","ncv0",0.138344650330035,1.48803727645293,0.0361151891586674,0.00880649141518707,0.0361151891586674
"independent","ncv0",0.126761592466485,1.41953099477903,0.0514311196050326,0.0104539582800452,0.0514311196050326
"independent","ncv0",0.116148338850154,1.36281384347455,0.080480707698099,0.0158161114248071,0.080480707698099
"independent","ncv0",0.106423691554815,1.31596928875483,0.125154346458694,0.0346882786206458,0.125154346458694
"independent","ncv0",0.0975132510398305,1.27762693332604,0.171034464910849,0.056749552741949,0.171034464910849
"independent","ncv0",0.089348846947856,1.24661399915315,0.234190415809751,0.0921397648105799,0.234190415809751
"independent","ncv0",0.0818680165596217,1.22170671946699,0.307427742829997,0.139221839117657,0.307427742829997
"independent","ncv0",0.0750135269156635,1.20244814172846,0.382319986701368,0.200538084683483,0.382319986701368
"independent","ncv0",0.0687329369489366,1.18792695133161,0.44582953333462,0.249504794175679,0.44582953333462
"independent","ncv0",0.0629781962783572,1.17758894127685,0.509151008143327,0.307845309503507,0.509151008143327
"independent","ncv0",0.0577052775937964,1.17069801535397,0.562984067676792,0.363591953665942,0.562984067676792
"independent","ncv0",0.0528738398200432,1.16701495121884,0.611207231850099,0.418244054777125,0.611207231850099
"independent","ncv0",0.048446919482736,1.16630887782886,0.649471618213086,0.4669725279683,0.649471618213086
"independent","ncv0",0.04439064791502,1.16816506940886,0.684511142973796,0.515432745648082,0.684511142973796
"independent","ncv0",0.0406739921413883,1.1724800689183,0.713884361833786,0.557935660049087,0.713884361833786
"independent","ncv0",0.0372685174563073,1.17884712564056,0.738491252368648,0.593715065588816,0.738491252368648
"independent","ncv0",0.0341481698812089,1.18720458798222,0.759135588920256,0.630699035687354,0.759135588920256
"independent","ncv0",0.0312890768355088,1.19743057039555,0.776560478450856,0.662074452947026,0.776560478450856
"independent","ncv0",0.0286693644966638,1.20918462469794,0.793582049221759,0.692849583802411,0.793582049221759
"independent","ncv0",0.0262689904519582,1.22219645710352,0.805114264718643,0.714483083918206,0.805114264718643
"independent","ncv0",0.0240695903617038,1.23645482314939,0.817519606182135,0.739302457551045,0.817519606182135
"independent","ncv0",0.0220543374607316,1.25170827063853,0.826757426976961,0.758077251289517,0.826757426976961
"independent","ncv0",0.020207813823276,1.26781525310033,0.834436128527415,0.773777796005763,0.834436128527415
"independent","ncv0",0.0185158924063475,1.28451723008993,0.842610186755163,0.790301021571716,0.842610186755163
"independent","ncv0",0.0169656289691538,1.30189031849904,0.848427296696382,0.802159024930464,0.848427296696382
"independent","ncv0",0.0155451630416861,1.31980663432919,0.854260082006427,0.813989791307954,0.854260082006427
"independent","ncv0",0.0142436271848197,1.33798407133438,0.858990398901772,0.823537202668458,0.858990398901772
"independent","ncv0",0.0130510638477118,1.35629970562477,0.863787228236306,0.833332481643603,0.863787228236306
"independent","ncv0",0.0119583491864054,1.37478896844452,0.867551166542675,0.84094241840479,0.867551166542675
"independent","ncv0",0.0109571232608041,1.3929313991466,0.870714550979671,0.847414270641144,0.870714550979671
