"method","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct"
"ncv1","model1",1,320,96,5,2,5,1
"ncv2","model1",1,320,96,5,2,5,1
"ncv3","model1",1,320,96,5,2,5,1
"cv","model1",1,320,97,7,3,5,0
"cv_1se","model1",1,320,97,5,2,5,1
"cvc","model1",1,320,97,5,2,5,1
"ncv1","model1",1,320,97,5,2,5,1
"ncv2","model1",1,320,97,5,2,5,1
"ncv3","model1",1,320,97,5,2,5,1
"cv","model1",1,320,98,5,2,5,1
"cv_1se","model1",1,320,98,5,2,5,1
"cvc","model1",1,320,98,5,2,5,1
"ncv1","model1",1,320,98,5,2,5,1
"ncv2","model1",1,320,98,5,2,5,1
"ncv3","model1",1,320,98,5,2,5,1
"cv","model1",1,320,99,7,3,5,0
"cv_1se","model1",1,320,99,5,2,5,1
"cvc","model1",1,320,99,5,2,5,1
"ncv1","model1",1,320,99,5,2,5,1
"ncv2","model1",1,320,99,5,2,5,1
"ncv3","model1",1,320,99,5,2,5,1
"cv","model1",1,320,100,6,3,5,0
"cv_1se","model1",1,320,100,5,2,5,1
"cvc","model1",1,320,100,5,2,5,1
"ncv1","model1",1,320,100,5,2,5,1
"ncv2","model1",1,320,100,5,2,5,1
"ncv3","model1",1,320,100,5,2,5,1
"cv","model1",1,640,1,7,3,5,0
"cv_1se","model1",1,640,1,5,2,5,1
"cvc","model1",1,640,1,5,2,5,1
"ncv1","model1",1,640,1,5,2,5,1
"ncv2","model1",1,640,1,5,2,5,1
"ncv3","model1",1,640,1,5,2,5,1
"cv","model1",1,640,2,5,2,5,1
"cv_1se","model1",1,640,2,5,2,5,1
"cvc","model1",1,640,2,5,2,5,1
"ncv1","model1",1,640,2,5,2,5,1
"ncv2","model1",1,640,2,5,2,5,1
"ncv3","model1",1,640,2,5,2,5,1
"cv","model1",1,640,3,15,4,5,0
"cv_1se","model1",1,640,3,5,2,5,1
"cvc","model1",1,640,3,5,2,5,1
"ncv1","model1",1,640,3,5,2,5,1
"ncv2","model1",1,640,3,5,2,5,1
"ncv3","model1",1,640,3,5,2,5,1
"cv","model1",1,640,4,5,2,5,1
"cv_1se","model1",1,640,4,5,2,5,1
"cvc","model1",1,640,4,5,2,5,1
"ncv1","model1",1,640,4,5,2,5,1
"ncv2","model1",1,640,4,7,3,5,0
"ncv3","model1",1,640,4,5,2,5,1
"cv","model1",1,640,5,5,2,5,1
"cv_1se","model1",1,640,5,5,2,5,1
"cvc","model1",1,640,5,5,2,5,1
"ncv1","model1",1,640,5,5,2,5,1
"ncv2","model1",1,640,5,5,2,5,1
"ncv3","model1",1,640,5,5,2,5,1
"cv","model1",1,640,6,5,2,5,1
"cv_1se","model1",1,640,6,5,2,5,1
"cvc","model1",1,640,6,5,2,5,1
"ncv1","model1",1,640,6,5,2,5,1
"ncv2","model1",1,640,6,5,2,5,1
"ncv3","model1",1,640,6,5,2,5,1
"cv","model1",1,640,7,5,2,5,1
"cv_1se","model1",1,640,7,5,2,5,1
"cvc","model1",1,640,7,5,2,5,1
"ncv1","model1",1,640,7,5,2,5,1
"ncv2","model1",1,640,7,5,2,5,1
"ncv3","model1",1,640,7,5,2,5,1
"cv","model1",1,640,8,13,3,5,0
"cv_1se","model1",1,640,8,5,2,5,1
"cvc","model1",1,640,8,5,2,5,1
"ncv1","model1",1,640,8,5,2,5,1
"ncv2","model1",1,640,8,5,2,5,1
"ncv3","model1",1,640,8,5,2,5,1
"cv","model1",1,640,9,5,2,5,1
"cv_1se","model1",1,640,9,5,2,5,1
"cvc","model1",1,640,9,5,2,5,1
"ncv1","model1",1,640,9,5,2,5,1
"ncv2","model1",1,640,9,5,2,5,1
"ncv3","model1",1,640,9,5,2,5,1
"cv","model1",1,640,10,13,3,5,0
"cv_1se","model1",1,640,10,5,2,5,1
"cvc","model1",1,640,10,5,2,5,1
"ncv1","model1",1,640,10,5,2,5,1
"ncv2","model1",1,640,10,5,2,5,1
"ncv3","model1",1,640,10,5,2,5,1
"cv","model1",1,640,11,5,2,5,1
"cv_1se","model1",1,640,11,5,2,5,1
"cvc","model1",1,640,11,5,2,5,1
"ncv1","model1",1,640,11,5,2,5,1
"ncv2","model1",1,640,11,5,2,5,1
"ncv3","model1",1,640,11,5,2,5,1
"cv","model1",1,640,12,5,2,5,1
"cv_1se","model1",1,640,12,5,2,5,1
"cvc","model1",1,640,12,5,2,5,1
"ncv1","model1",1,640,12,5,2,5,1
"ncv2","model1",1,640,12,5,2,5,1
"ncv3","model1",1,640,12,5,2,5,1
"cv","model1",1,640,13,13,3,5,0
"cv_1se","model1",1,640,13,5,2,5,1
"cvc","model1",1,640,13,5,2,5,1
"ncv1","model1",1,640,13,5,2,5,1
"ncv2","model1",1,640,13,5,2,5,1
"ncv3","model1",1,640,13,5,2,5,1
"cv","model1",1,640,14,5,2,5,1
"cv_1se","model1",1,640,14,5,2,5,1
"cvc","model1",1,640,14,5,2,5,1
"ncv1","model1",1,640,14,5,2,5,1
"ncv2","model1",1,640,14,5,2,5,1
"ncv3","model1",1,640,14,5,2,5,1
"cv","model1",1,640,15,7,3,5,0
"cv_1se","model1",1,640,15,5,2,5,1
"cvc","model1",1,640,15,5,2,5,1
"ncv1","model1",1,640,15,5,2,5,1
"ncv2","model1",1,640,15,5,2,5,1
"ncv3","model1",1,640,15,5,2,5,1
"cv","model1",1,640,16,13,3,5,0
"cv_1se","model1",1,640,16,5,2,5,1
"cvc","model1",1,640,16,5,2,5,1
"ncv1","model1",1,640,16,5,2,5,1
"ncv2","model1",1,640,16,13,3,5,0
"ncv3","model1",1,640,16,5,2,5,1
"cv","model1",1,640,17,7,3,5,0
"cv_1se","model1",1,640,17,5,2,5,1
"cvc","model1",1,640,17,5,2,5,1
"ncv1","model1",1,640,17,5,2,5,1
"ncv2","model1",1,640,17,5,2,5,1
"ncv3","model1",1,640,17,5,2,5,1
"cv","model1",1,640,18,7,3,5,0
"cv_1se","model1",1,640,18,5,2,5,1
"cvc","model1",1,640,18,5,2,5,1
"ncv1","model1",1,640,18,5,2,5,1
"ncv2","model1",1,640,18,5,2,5,1
"ncv3","model1",1,640,18,5,2,5,1
"cv","model1",1,640,19,13,3,5,0
"cv_1se","model1",1,640,19,5,2,5,1
"cvc","model1",1,640,19,5,2,5,1
"ncv1","model1",1,640,19,5,2,5,1
"ncv2","model1",1,640,19,13,3,5,0
"ncv3","model1",1,640,19,5,2,5,1
"cv","model1",1,640,20,13,3,5,0
"cv_1se","model1",1,640,20,5,2,5,1
"cvc","model1",1,640,20,5,2,5,1
"ncv1","model1",1,640,20,5,2,5,1
"ncv2","model1",1,640,20,7,3,5,0
"ncv3","model1",1,640,20,5,2,5,1
"cv","model1",1,640,21,5,2,5,1
"cv_1se","model1",1,640,21,5,2,5,1
"cvc","model1",1,640,21,5,2,5,1
"ncv1","model1",1,640,21,5,2,5,1
"ncv2","model1",1,640,21,5,2,5,1
"ncv3","model1",1,640,21,5,2,5,1
"cv","model1",1,640,22,13,3,5,0
"cv_1se","model1",1,640,22,5,2,5,1
"cvc","model1",1,640,22,5,2,5,1
"ncv1","model1",1,640,22,5,2,5,1
"ncv2","model1",1,640,22,5,2,5,1
"ncv3","model1",1,640,22,5,2,5,1
"cv","model1",1,640,23,6,3,5,0
"cv_1se","model1",1,640,23,5,2,5,1
"cvc","model1",1,640,23,5,2,5,1
"ncv1","model1",1,640,23,5,2,5,1
"ncv2","model1",1,640,23,6,3,5,0
"ncv3","model1",1,640,23,5,2,5,1
"cv","model1",1,640,24,5,2,5,1
"cv_1se","model1",1,640,24,5,2,5,1
"cvc","model1",1,640,24,5,2,5,1
"ncv1","model1",1,640,24,5,2,5,1
"ncv2","model1",1,640,24,5,2,5,1
"ncv3","model1",1,640,24,5,2,5,1
"cv","model1",1,640,25,13,3,5,0
"cv_1se","model1",1,640,25,5,2,5,1
"cvc","model1",1,640,25,5,2,5,1
"ncv1","model1",1,640,25,5,2,5,1
"ncv2","model1",1,640,25,7,3,5,0
"ncv3","model1",1,640,25,5,2,5,1
"cv","model1",1,640,26,13,3,5,0
"cv_1se","model1",1,640,26,5,2,5,1
"cvc","model1",1,640,26,5,2,5,1
"ncv1","model1",1,640,26,5,2,5,1
"ncv2","model1",1,640,26,13,3,5,0
"ncv3","model1",1,640,26,5,2,5,1
"cv","model1",1,640,27,5,2,5,1
"cv_1se","model1",1,640,27,5,2,5,1
"cvc","model1",1,640,27,5,2,5,1
"ncv1","model1",1,640,27,5,2,5,1
"ncv2","model1",1,640,27,5,2,5,1
"ncv3","model1",1,640,27,5,2,5,1
"cv","model1",1,640,28,5,2,5,1
"cv_1se","model1",1,640,28,5,2,5,1
"cvc","model1",1,640,28,5,2,5,1
"ncv1","model1",1,640,28,5,2,5,1
"ncv2","model1",1,640,28,5,2,5,1
"ncv3","model1",1,640,28,5,2,5,1
"cv","model1",1,640,29,5,2,5,1
"cv_1se","model1",1,640,29,5,2,5,1
"cvc","model1",1,640,29,5,2,5,1
"ncv1","model1",1,640,29,5,2,5,1
"ncv2","model1",1,640,29,6,3,5,0
"ncv3","model1",1,640,29,5,2,5,1
"cv","model1",1,640,30,6,3,5,0
"cv_1se","model1",1,640,30,5,2,5,1
"cvc","model1",1,640,30,5,2,5,1
"ncv1","model1",1,640,30,5,2,5,1
"ncv2","model1",1,640,30,5,2,5,1
"ncv3","model1",1,640,30,5,2,5,1
"cv","model1",1,640,31,8,4,5,0
"cv_1se","model1",1,640,31,5,2,5,1
"cvc","model1",1,640,31,5,2,5,1
"ncv1","model1",1,640,31,5,2,5,1
"ncv2","model1",1,640,31,6,3,5,0
"ncv3","model1",1,640,31,5,2,5,1
"cv","model1",1,640,32,5,2,5,1
"cv_1se","model1",1,640,32,5,2,5,1
"cvc","model1",1,640,32,5,2,5,1
"ncv1","model1",1,640,32,5,2,5,1
"ncv2","model1",1,640,32,5,2,5,1
"ncv3","model1",1,640,32,5,2,5,1
"cv","model1",1,640,33,7,3,5,0
"cv_1se","model1",1,640,33,5,2,5,1
"cvc","model1",1,640,33,5,2,5,1
"ncv1","model1",1,640,33,5,2,5,1
"ncv2","model1",1,640,33,7,3,5,0
"ncv3","model1",1,640,33,5,2,5,1
"cv","model1",1,640,34,5,2,5,1
"cv_1se","model1",1,640,34,5,2,5,1
"cvc","model1",1,640,34,5,2,5,1
"ncv1","model1",1,640,34,5,2,5,1
"ncv2","model1",1,640,34,5,2,5,1
"ncv3","model1",1,640,34,5,2,5,1
"cv","model1",1,640,35,5,2,5,1
"cv_1se","model1",1,640,35,5,2,5,1
"cvc","model1",1,640,35,5,2,5,1
"ncv1","model1",1,640,35,5,2,5,1
"ncv2","model1",1,640,35,6,3,5,0
"ncv3","model1",1,640,35,5,2,5,1
"cv","model1",1,640,36,5,2,5,1
"cv_1se","model1",1,640,36,5,2,5,1
"cvc","model1",1,640,36,5,2,5,1
"ncv1","model1",1,640,36,5,2,5,1
"ncv2","model1",1,640,36,6,3,5,0
"ncv3","model1",1,640,36,5,2,5,1
"cv","model1",1,640,37,5,2,5,1
"cv_1se","model1",1,640,37,5,2,5,1
"cvc","model1",1,640,37,5,2,5,1
"ncv1","model1",1,640,37,5,2,5,1
"ncv2","model1",1,640,37,6,3,5,0
"ncv3","model1",1,640,37,5,2,5,1
"cv","model1",1,640,38,15,4,5,0
"cv_1se","model1",1,640,38,5,2,5,1
"cvc","model1",1,640,38,5,2,5,1
"ncv1","model1",1,640,38,5,2,5,1
"ncv2","model1",1,640,38,13,3,5,0
"ncv3","model1",1,640,38,5,2,5,1
"cv","model1",1,640,39,5,2,5,1
"cv_1se","model1",1,640,39,5,2,5,1
"cvc","model1",1,640,39,5,2,5,1
"ncv1","model1",1,640,39,5,2,5,1
"ncv2","model1",1,640,39,6,3,5,0
"ncv3","model1",1,640,39,5,2,5,1
"cv","model1",1,640,40,13,3,5,0
"cv_1se","model1",1,640,40,5,2,5,1
"cvc","model1",1,640,40,5,2,5,1
"ncv1","model1",1,640,40,5,2,5,1
"ncv2","model1",1,640,40,6,3,5,0
"ncv3","model1",1,640,40,5,2,5,1
"cv","model1",1,640,41,13,3,5,0
"cv_1se","model1",1,640,41,5,2,5,1
"cvc","model1",1,640,41,5,2,5,1
"ncv1","model1",1,640,41,5,2,5,1
"ncv2","model1",1,640,41,13,3,5,0
"ncv3","model1",1,640,41,5,2,5,1
"cv","model1",1,640,42,7,3,5,0
"cv_1se","model1",1,640,42,5,2,5,1
"cvc","model1",1,640,42,5,2,5,1
"ncv1","model1",1,640,42,5,2,5,1
"ncv2","model1",1,640,42,6,3,5,0
"ncv3","model1",1,640,42,5,2,5,1
"cv","model1",1,640,43,7,3,5,0
"cv_1se","model1",1,640,43,5,2,5,1
"cvc","model1",1,640,43,5,2,5,1
"ncv1","model1",1,640,43,5,2,5,1
"ncv2","model1",1,640,43,7,3,5,0
"ncv3","model1",1,640,43,5,2,5,1
"cv","model1",1,640,44,5,2,5,1
"cv_1se","model1",1,640,44,5,2,5,1
"cvc","model1",1,640,44,5,2,5,1
"ncv1","model1",1,640,44,5,2,5,1
"ncv2","model1",1,640,44,5,2,5,1
"ncv3","model1",1,640,44,5,2,5,1
"cv","model1",1,640,45,13,3,5,0
"cv_1se","model1",1,640,45,5,2,5,1
"cvc","model1",1,640,45,5,2,5,1
"ncv1","model1",1,640,45,5,2,5,1
"ncv2","model1",1,640,45,15,4,5,0
"ncv3","model1",1,640,45,5,2,5,1
"cv","model1",1,640,46,14,4,5,0
"cv_1se","model1",1,640,46,5,2,5,1
"cvc","model1",1,640,46,5,2,5,1
"ncv1","model1",1,640,46,5,2,5,1
"ncv2","model1",1,640,46,5,2,5,1
"ncv3","model1",1,640,46,5,2,5,1
"cv","model1",1,640,47,6,3,5,0
"cv_1se","model1",1,640,47,5,2,5,1
"cvc","model1",1,640,47,5,2,5,1
"ncv1","model1",1,640,47,5,2,5,1
"ncv2","model1",1,640,47,6,3,5,0
"ncv3","model1",1,640,47,5,2,5,1
"cv","model1",1,640,48,13,3,5,0
"cv_1se","model1",1,640,48,5,2,5,1
"cvc","model1",1,640,48,5,2,5,1
"ncv1","model1",1,640,48,5,2,5,1
"ncv2","model1",1,640,48,15,4,5,0
"ncv3","model1",1,640,48,5,2,5,1
"cv","model1",1,640,49,5,2,5,1
"cv_1se","model1",1,640,49,5,2,5,1
"cvc","model1",1,640,49,5,2,5,1
"ncv1","model1",1,640,49,5,2,5,1
"ncv2","model1",1,640,49,5,2,5,1
"ncv3","model1",1,640,49,5,2,5,1
"cv","model1",1,640,50,5,2,5,1
"cv_1se","model1",1,640,50,5,2,5,1
"cvc","model1",1,640,50,5,2,5,1
"ncv1","model1",1,640,50,5,2,5,1
"ncv2","model1",1,640,50,5,2,5,1
"ncv3","model1",1,640,50,5,2,5,1
"cv","model1",1,640,51,14,4,5,0
"cv_1se","model1",1,640,51,5,2,5,1
"cvc","model1",1,640,51,5,2,5,1
"ncv1","model1",1,640,51,5,2,5,1
"ncv2","model1",1,640,51,5,2,5,1
"ncv3","model1",1,640,51,5,2,5,1
"cv","model1",1,640,52,13,3,5,0
"cv_1se","model1",1,640,52,5,2,5,1
"cvc","model1",1,640,52,5,2,5,1
"ncv1","model1",1,640,52,5,2,5,1
"ncv2","model1",1,640,52,8,4,5,0
"ncv3","model1",1,640,52,5,2,5,1
"cv","model1",1,640,53,5,2,5,1
"cv_1se","model1",1,640,53,5,2,5,1
"cvc","model1",1,640,53,5,2,5,1
"ncv1","model1",1,640,53,5,2,5,1
"ncv2","model1",1,640,53,5,2,5,1
"ncv3","model1",1,640,53,5,2,5,1
"cv","model1",1,640,54,13,3,5,0
"cv_1se","model1",1,640,54,5,2,5,1
"cvc","model1",1,640,54,5,2,5,1
"ncv1","model1",1,640,54,5,2,5,1
"ncv2","model1",1,640,54,13,3,5,0
"ncv3","model1",1,640,54,5,2,5,1
"cv","model1",1,640,55,6,3,5,0
"cv_1se","model1",1,640,55,5,2,5,1
"cvc","model1",1,640,55,5,2,5,1
"ncv1","model1",1,640,55,5,2,5,1
"ncv2","model1",1,640,55,6,3,5,0
"ncv3","model1",1,640,55,5,2,5,1
"cv","model1",1,640,56,5,2,5,1
"cv_1se","model1",1,640,56,5,2,5,1
"cvc","model1",1,640,56,5,2,5,1
"ncv1","model1",1,640,56,5,2,5,1
"ncv2","model1",1,640,56,5,2,5,1
"ncv3","model1",1,640,56,5,2,5,1
"cv","model1",1,640,57,5,2,5,1
"cv_1se","model1",1,640,57,5,2,5,1
"cvc","model1",1,640,57,5,2,5,1
"ncv1","model1",1,640,57,5,2,5,1
"ncv2","model1",1,640,57,5,2,5,1
"ncv3","model1",1,640,57,5,2,5,1
"cv","model1",1,640,58,5,2,5,1
"cv_1se","model1",1,640,58,5,2,5,1
"cvc","model1",1,640,58,5,2,5,1
"ncv1","model1",1,640,58,5,2,5,1
"ncv2","model1",1,640,58,6,3,5,0
"ncv3","model1",1,640,58,5,2,5,1
"cv","model1",1,640,59,5,2,5,1
"cv_1se","model1",1,640,59,5,2,5,1
"cvc","model1",1,640,59,5,2,5,1
"ncv1","model1",1,640,59,5,2,5,1
"ncv2","model1",1,640,59,5,2,5,1
"ncv3","model1",1,640,59,5,2,5,1
"cv","model1",1,640,60,7,3,5,0
"cv_1se","model1",1,640,60,5,2,5,1
"cvc","model1",1,640,60,5,2,5,1
"ncv1","model1",1,640,60,5,2,5,1
"ncv2","model1",1,640,60,7,3,5,0
"ncv3","model1",1,640,60,5,2,5,1
"cv","model1",1,640,61,5,2,5,1
"cv_1se","model1",1,640,61,5,2,5,1
"cvc","model1",1,640,61,5,2,5,1
"ncv1","model1",1,640,61,5,2,5,1
"ncv2","model1",1,640,61,5,2,5,1
"ncv3","model1",1,640,61,5,2,5,1
"cv","model1",1,640,62,7,3,5,0
"cv_1se","model1",1,640,62,5,2,5,1
"cvc","model1",1,640,62,5,2,5,1
"ncv1","model1",1,640,62,5,2,5,1
"ncv2","model1",1,640,62,5,2,5,1
"ncv3","model1",1,640,62,5,2,5,1
"cv","model1",1,640,63,14,4,5,0
"cv_1se","model1",1,640,63,5,2,5,1
"cvc","model1",1,640,63,5,2,5,1
"ncv1","model1",1,640,63,5,2,5,1
"ncv2","model1",1,640,63,13,3,5,0
"ncv3","model1",1,640,63,5,2,5,1
"cv","model1",1,640,64,5,2,5,1
"cv_1se","model1",1,640,64,5,2,5,1
"cvc","model1",1,640,64,5,2,5,1
"ncv1","model1",1,640,64,5,2,5,1
"ncv2","model1",1,640,64,5,2,5,1
"ncv3","model1",1,640,64,5,2,5,1
"cv","model1",1,640,65,5,2,5,1
"cv_1se","model1",1,640,65,5,2,5,1
"cvc","model1",1,640,65,5,2,5,1
"ncv1","model1",1,640,65,5,2,5,1
"ncv2","model1",1,640,65,5,2,5,1
"ncv3","model1",1,640,65,5,2,5,1
"cv","model1",1,640,66,15,4,5,0
"cv_1se","model1",1,640,66,5,2,5,1
"cvc","model1",1,640,66,5,2,5,1
"ncv1","model1",1,640,66,5,2,5,1
"ncv2","model1",1,640,66,7,3,5,0
"ncv3","model1",1,640,66,5,2,5,1
"cv","model1",1,640,67,5,2,5,1
"cv_1se","model1",1,640,67,5,2,5,1
"cvc","model1",1,640,67,5,2,5,1
"ncv1","model1",1,640,67,5,2,5,1
"ncv2","model1",1,640,67,5,2,5,1
"ncv3","model1",1,640,67,5,2,5,1
"cv","model1",1,640,68,5,2,5,1
"cv_1se","model1",1,640,68,5,2,5,1
"cvc","model1",1,640,68,5,2,5,1
"ncv1","model1",1,640,68,5,2,5,1
"ncv2","model1",1,640,68,5,2,5,1
"ncv3","model1",1,640,68,5,2,5,1
"cv","model1",1,640,69,5,2,5,1
"cv_1se","model1",1,640,69,5,2,5,1
"cvc","model1",1,640,69,5,2,5,1
"ncv1","model1",1,640,69,5,2,5,1
"ncv2","model1",1,640,69,5,2,5,1
"ncv3","model1",1,640,69,5,2,5,1
"cv","model1",1,640,70,5,2,5,1
"cv_1se","model1",1,640,70,5,2,5,1
"cvc","model1",1,640,70,5,2,5,1
"ncv1","model1",1,640,70,5,2,5,1
"ncv2","model1",1,640,70,5,2,5,1
"ncv3","model1",1,640,70,5,2,5,1
"cv","model1",1,640,71,7,3,5,0
"cv_1se","model1",1,640,71,5,2,5,1
"cvc","model1",1,640,71,5,2,5,1
"ncv1","model1",1,640,71,5,2,5,1
"ncv2","model1",1,640,71,13,3,5,0
"ncv3","model1",1,640,71,5,2,5,1
"cv","model1",1,640,72,5,2,5,1
"cv_1se","model1",1,640,72,5,2,5,1
"cvc","model1",1,640,72,5,2,5,1
"ncv1","model1",1,640,72,5,2,5,1
"ncv2","model1",1,640,72,5,2,5,1
"ncv3","model1",1,640,72,5,2,5,1
"cv","model1",1,640,73,5,2,5,1
"cv_1se","model1",1,640,73,5,2,5,1
"cvc","model1",1,640,73,5,2,5,1
"ncv1","model1",1,640,73,5,2,5,1
"ncv2","model1",1,640,73,5,2,5,1
"ncv3","model1",1,640,73,5,2,5,1
"cv","model1",1,640,74,5,2,5,1
"cv_1se","model1",1,640,74,5,2,5,1
"cvc","model1",1,640,74,5,2,5,1
"ncv1","model1",1,640,74,5,2,5,1
"ncv2","model1",1,640,74,6,3,5,0
"ncv3","model1",1,640,74,5,2,5,1
"cv","model1",1,640,75,5,2,5,1
"cv_1se","model1",1,640,75,5,2,5,1
"cvc","model1",1,640,75,5,2,5,1
"ncv1","model1",1,640,75,5,2,5,1
"ncv2","model1",1,640,75,5,2,5,1
"ncv3","model1",1,640,75,5,2,5,1
"cv","model1",1,640,76,5,2,5,1
"cv_1se","model1",1,640,76,5,2,5,1
"cvc","model1",1,640,76,5,2,5,1
"ncv1","model1",1,640,76,5,2,5,1
"ncv2","model1",1,640,76,7,3,5,0
"ncv3","model1",1,640,76,5,2,5,1
"cv","model1",1,640,77,6,3,5,0
"cv_1se","model1",1,640,77,5,2,5,1
"cvc","model1",1,640,77,5,2,5,1
"ncv1","model1",1,640,77,5,2,5,1
"ncv2","model1",1,640,77,5,2,5,1
"ncv3","model1",1,640,77,5,2,5,1
"cv","model1",1,640,78,5,2,5,1
"cv_1se","model1",1,640,78,5,2,5,1
"cvc","model1",1,640,78,5,2,5,1
"ncv1","model1",1,640,78,5,2,5,1
"ncv2","model1",1,640,78,5,2,5,1
"ncv3","model1",1,640,78,5,2,5,1
"cv","model1",1,640,79,13,3,5,0
"cv_1se","model1",1,640,79,5,2,5,1
"cvc","model1",1,640,79,5,2,5,1
"ncv1","model1",1,640,79,5,2,5,1
"ncv2","model1",1,640,79,13,3,5,0
"ncv3","model1",1,640,79,5,2,5,1
"cv","model1",1,640,80,5,2,5,1
"cv_1se","model1",1,640,80,5,2,5,1
"cvc","model1",1,640,80,5,2,5,1
"ncv1","model1",1,640,80,5,2,5,1
"ncv2","model1",1,640,80,13,3,5,0
"ncv3","model1",1,640,80,5,2,5,1
"cv","model1",1,640,81,13,3,5,0
"cv_1se","model1",1,640,81,5,2,5,1
"cvc","model1",1,640,81,5,2,5,1
"ncv1","model1",1,640,81,5,2,5,1
"ncv2","model1",1,640,81,5,2,5,1
"ncv3","model1",1,640,81,5,2,5,1
"cv","model1",1,640,82,5,2,5,1
"cv_1se","model1",1,640,82,5,2,5,1
"cvc","model1",1,640,82,5,2,5,1
"ncv1","model1",1,640,82,5,2,5,1
"ncv2","model1",1,640,82,14,4,5,0
"ncv3","model1",1,640,82,5,2,5,1
"cv","model1",1,640,83,15,4,5,0
"cv_1se","model1",1,640,83,5,2,5,1
"cvc","model1",1,640,83,5,2,5,1
"ncv1","model1",1,640,83,5,2,5,1
"ncv2","model1",1,640,83,15,4,5,0
"ncv3","model1",1,640,83,5,2,5,1
"cv","model1",1,640,84,5,2,5,1
"cv_1se","model1",1,640,84,5,2,5,1
"cvc","model1",1,640,84,5,2,5,1
"ncv1","model1",1,640,84,5,2,5,1
"ncv2","model1",1,640,84,14,4,5,0
"ncv3","model1",1,640,84,5,2,5,1
"cv","model1",1,640,85,5,2,5,1
"cv_1se","model1",1,640,85,5,2,5,1
"cvc","model1",1,640,85,5,2,5,1
"ncv1","model1",1,640,85,5,2,5,1
"ncv2","model1",1,640,85,5,2,5,1
"ncv3","model1",1,640,85,5,2,5,1
"cv","model1",1,640,86,7,3,5,0
"cv_1se","model1",1,640,86,5,2,5,1
"cvc","model1",1,640,86,5,2,5,1
"ncv1","model1",1,640,86,5,2,5,1
"ncv2","model1",1,640,86,7,3,5,0
"ncv3","model1",1,640,86,5,2,5,1
"cv","model1",1,640,87,5,2,5,1
"cv_1se","model1",1,640,87,5,2,5,1
"cvc","model1",1,640,87,5,2,5,1
"ncv1","model1",1,640,87,5,2,5,1
"ncv2","model1",1,640,87,5,2,5,1
"ncv3","model1",1,640,87,5,2,5,1
"cv","model1",1,640,88,7,3,5,0
"cv_1se","model1",1,640,88,5,2,5,1
"cvc","model1",1,640,88,5,2,5,1
"ncv1","model1",1,640,88,5,2,5,1
"ncv2","model1",1,640,88,7,3,5,0
"ncv3","model1",1,640,88,5,2,5,1
"cv","model1",1,640,89,13,3,5,0
"cv_1se","model1",1,640,89,5,2,5,1
"cvc","model1",1,640,89,5,2,5,1
"ncv1","model1",1,640,89,5,2,5,1
"ncv2","model1",1,640,89,15,4,5,0
"ncv3","model1",1,640,89,5,2,5,1
"cv","model1",1,640,90,5,2,5,1
"cv_1se","model1",1,640,90,5,2,5,1
"cvc","model1",1,640,90,5,2,5,1
"ncv1","model1",1,640,90,5,2,5,1
"ncv2","model1",1,640,90,7,3,5,0
"ncv3","model1",1,640,90,5,2,5,1
"cv","model1",1,640,91,7,3,5,0
"cv_1se","model1",1,640,91,5,2,5,1
"cvc","model1",1,640,91,5,2,5,1
"ncv1","model1",1,640,91,5,2,5,1
"ncv2","model1",1,640,91,5,2,5,1
"ncv3","model1",1,640,91,5,2,5,1
"cv","model1",1,640,92,15,4,5,0
"cv_1se","model1",1,640,92,5,2,5,1
"cvc","model1",1,640,92,5,2,5,1
"ncv1","model1",1,640,92,5,2,5,1
"ncv2","model1",1,640,92,8,4,5,0
"ncv3","model1",1,640,92,5,2,5,1
"cv","model1",1,640,93,5,2,5,1
"cv_1se","model1",1,640,93,5,2,5,1
"cvc","model1",1,640,93,5,2,5,1
"ncv1","model1",1,640,93,5,2,5,1
"ncv2","model1",1,640,93,5,2,5,1
"ncv3","model1",1,640,93,5,2,5,1
"cv","model1",1,640,94,6,3,5,0
"cv_1se","model1",1,640,94,5,2,5,1
"cvc","model1",1,640,94,5,2,5,1
"ncv1","model1",1,640,94,5,2,5,1
"ncv2","model1",1,640,94,5,2,5,1
"ncv3","model1",1,640,94,5,2,5,1
"cv","model1",1,640,95,5,2,5,1
"cv_1se","model1",1,640,95,5,2,5,1
"cvc","model1",1,640,95,5,2,5,1
"ncv1","model1",1,640,95,5,2,5,1
"ncv2","model1",1,640,95,13,3,5,0
"ncv3","model1",1,640,95,5,2,5,1
"cv","model1",1,640,96,5,2,5,1
"cv_1se","model1",1,640,96,5,2,5,1
"cvc","model1",1,640,96,5,2,5,1
"ncv1","model1",1,640,96,5,2,5,1
"ncv2","model1",1,640,96,5,2,5,1
"ncv3","model1",1,640,96,5,2,5,1
"cv","model1",1,640,97,13,3,5,0
"cv_1se","model1",1,640,97,5,2,5,1
"cvc","model1",1,640,97,5,2,5,1
"ncv1","model1",1,640,97,5,2,5,1
"ncv2","model1",1,640,97,14,4,5,0
"ncv3","model1",1,640,97,5,2,5,1
"cv","model1",1,640,98,13,3,5,0
"cv_1se","model1",1,640,98,5,2,5,1
"cvc","model1",1,640,98,5,2,5,1
"ncv1","model1",1,640,98,5,2,5,1
"ncv2","model1",1,640,98,5,2,5,1
"ncv3","model1",1,640,98,5,2,5,1
