"scenario","lambda","cv_mse_mean","cv_mse_sd","true_fdr_mean","true_fdr_sd","est_fdr_mean","est_fdr_sd"
"independent",1.60049200576095,21.2180248781773,1.11463794084912,0,0,0,0
"independent",1.46648905393987,21.1935408313332,1.10166970439362,0,0,0,0
"independent",1.34370564650397,21.0684878041305,1.03406723264448,0,0,0,0
"independent",1.23120241477144,20.7215594859053,0.89631283629841,0,0,0,0
"independent",1.12811863973555,20.0794084703867,0.731343013169596,0,0,0,0
"independent",1.03366566703415,19.1176978306936,0.599346799859253,0,0,0,0
"independent",0.947120873258172,17.8347093572854,0.495726105337757,0,0,0,0
"independent",0.867822137437488,16.3193754262012,0.450267832774301,0,0,0,0
"independent",0.795162775407741,14.6231221266574,0.476752306036138,0,0,0,0
"independent",0.728586898302864,12.8393715571107,0.52686770500262,0,0,0,0
"independent",0.66758515966292,11.1236659393378,0.539482418559811,0,0,0,0
"independent",0.611690858620008,9.5635914767015,0.501185890594357,0,0,0,0
"independent",0.560476369349204,8.2079278629229,0.435197787679683,0,0,0,0
"independent",0.513549869467659,7.06098107881104,0.36981439718388,0,0,0,0
"independent",0.470552342352066,6.09641403876613,0.312879014382425,0,0,0,0
"independent",0.431154830440396,5.28657734657411,0.265480759671256,0,0,0,0
"independent",0.395055918503962,4.60663620849415,0.22613993538279,0,0,0,0
"independent",0.3619794276353,4.03575157618166,0.193620102301332,0,0,0,0
"independent",0.33167230230944,3.55645924642346,0.166908359707612,0,0,0,0
"independent",0.303902674353299,3.15405683698214,0.145128882422716,0,0,0,0
"independent",0.278458089011369,2.81620640526831,0.127523932909435,0,0,0,0
"independent",0.25514387953599,2.53258651761317,0.113484303800058,0,0,0,0
"independent",0.233781677866854,2.29453377986546,0.102417324238115,0.000952380952380952,0.00673435029701474,0.00105820105820106,0.00748261144112749
"independent",0.214208050005496,2.09477670667621,0.0938539509987255,0.00285714285714286,0.0114237113086712,0.00211640211640212,0.0104734742710136
"independent",0.196273245644555,1.92715373435505,0.0872843720418725,0.00658008658008658,0.0188644219287402,0.00206830206830207,0.0102383235166772
"independent",0.179840052485699,1.78656852783569,0.0823385001211086,0.00848484848484848,0.0204729019469746,0.00206830206830207,0.0102383235166772
"independent",0.164782746481047,1.66879316381824,0.0788184667986607,0.0130735930735931,0.0264914449826686,0.00206830206830207,0.0102383235166772
"independent",0.150986129966773,1.57025557279926,0.0764214913687782,0.0210822510822511,0.0360147005530281,0.00615680615680616,0.0196957444146798
"independent",0.138344650330035,1.48803727645293,0.0749121234754871,0.0361151891586674,0.0466591897937542,0.00880649141518707,0.0297781191623894
