"method","alpha","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct","acv_size","tie_size_min"
"cvc_frac",0.05,"model1",1,160,43,NA,2,5,1,4,1
"cv",NA,"model1",1,160,44,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,44,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,44,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,44,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,160,44,NA,2,5,1,4,1
"cv",NA,"model1",1,160,45,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,45,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,45,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,45,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,160,45,NA,2,5,1,6,1
"cv",NA,"model1",1,160,46,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,46,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,46,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,46,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,160,46,NA,2,5,1,4,1
"cv",NA,"model1",1,160,47,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,47,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,47,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,47,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,47,NA,2,5,1,8,1
"cv",NA,"model1",1,160,48,6,3,5,0,NA,NA
"bic",NA,"model1",1,160,48,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,48,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,48,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,160,48,NA,2,5,1,5,1
"cv",NA,"model1",1,160,49,14,4,5,0,NA,NA
"bic",NA,"model1",1,160,49,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,49,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,49,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,49,NA,2,5,1,8,1
"cv",NA,"model1",1,160,50,15,4,5,0,NA,NA
"bic",NA,"model1",1,160,50,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,50,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,50,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,50,NA,2,5,1,8,1
"cv",NA,"model1",1,160,51,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,51,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,51,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,51,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,160,51,NA,2,5,1,7,1
"cv",NA,"model1",1,160,52,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,52,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,52,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,52,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,52,NA,2,5,1,8,1
"cv",NA,"model1",1,160,53,6,3,5,0,NA,NA
"bic",NA,"model1",1,160,53,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,53,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,53,5,2,5,1,2,1
"cvc_frac",0.05,"model1",1,160,53,NA,2,5,1,2,1
"cv",NA,"model1",1,160,54,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,54,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,54,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,54,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,54,NA,2,5,1,8,1
"cv",NA,"model1",1,160,55,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,55,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,55,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,55,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,160,55,NA,2,5,1,6,1
"cv",NA,"model1",1,160,56,6,3,5,0,NA,NA
"bic",NA,"model1",1,160,56,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,56,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,56,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,160,56,NA,2,5,1,6,1
"cv",NA,"model1",1,160,57,6,3,5,0,NA,NA
"bic",NA,"model1",1,160,57,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,57,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,57,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,57,NA,2,5,1,8,1
"cv",NA,"model1",1,160,58,13,3,5,0,NA,NA
"bic",NA,"model1",1,160,58,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,58,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,58,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,58,NA,2,5,1,8,1
"cv",NA,"model1",1,160,59,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,59,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,59,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,59,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,59,NA,2,5,1,8,1
"cv",NA,"model1",1,160,60,8,4,5,0,NA,NA
"bic",NA,"model1",1,160,60,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,60,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,60,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,160,60,NA,2,5,1,5,1
"cv",NA,"model1",1,160,61,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,61,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,61,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,61,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,160,61,NA,2,5,1,4,1
"cv",NA,"model1",1,160,62,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,62,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,62,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,62,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,62,NA,2,5,1,8,1
"cv",NA,"model1",1,160,63,13,3,5,0,NA,NA
"bic",NA,"model1",1,160,63,13,3,5,0,NA,NA
"fy",0.05,"model1",1,160,63,13,3,5,0,4,NA
"cvc_pmax",0.05,"model1",1,160,63,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,160,63,NA,2,5,1,6,1
"cv",NA,"model1",1,160,64,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,64,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,64,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,64,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,160,64,NA,2,5,1,6,1
"cv",NA,"model1",1,160,65,13,3,5,0,NA,NA
"bic",NA,"model1",1,160,65,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,65,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,65,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,65,NA,2,5,1,8,1
"cv",NA,"model1",1,160,66,6,3,5,0,NA,NA
"bic",NA,"model1",1,160,66,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,66,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,66,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,66,NA,2,5,1,8,1
"cv",NA,"model1",1,160,67,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,67,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,67,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,67,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,160,67,NA,2,5,1,5,1
"cv",NA,"model1",1,160,68,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,68,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,68,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,68,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,68,NA,2,5,1,8,1
"cv",NA,"model1",1,160,69,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,69,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,69,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,69,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,160,69,NA,2,5,1,5,1
"cv",NA,"model1",1,160,70,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,70,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,70,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,70,5,2,5,1,2,1
"cvc_frac",0.05,"model1",1,160,70,NA,2,5,1,2,1
"cv",NA,"model1",1,160,71,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,71,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,71,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,71,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,71,NA,2,5,1,8,1
"cv",NA,"model1",1,160,72,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,72,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,72,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,72,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,72,NA,2,5,1,8,1
"cv",NA,"model1",1,160,73,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,73,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,73,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,73,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,160,73,NA,2,5,1,4,1
"cv",NA,"model1",1,160,74,6,3,5,0,NA,NA
"bic",NA,"model1",1,160,74,6,3,5,0,NA,NA
"fy",0.05,"model1",1,160,74,5,2,5,1,7,NA
"cvc_pmax",0.05,"model1",1,160,74,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,160,74,NA,2,5,1,5,1
"cv",NA,"model1",1,160,75,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,75,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,75,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,75,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,75,NA,2,5,1,8,1
"cv",NA,"model1",1,160,76,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,76,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,76,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,76,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,160,76,NA,2,5,1,4,1
"cv",NA,"model1",1,160,77,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,77,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,77,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,77,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,160,77,NA,2,5,1,5,1
"cv",NA,"model1",1,160,78,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,78,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,78,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,78,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,160,78,NA,2,5,1,5,1
"cv",NA,"model1",1,160,79,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,79,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,79,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,79,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,160,79,NA,2,5,1,4,1
"cv",NA,"model1",1,160,80,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,80,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,80,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,80,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,80,NA,2,5,1,8,1
"cv",NA,"model1",1,160,81,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,81,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,81,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,81,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,81,NA,2,5,1,8,1
"cv",NA,"model1",1,160,82,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,82,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,82,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,82,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,160,82,NA,2,5,1,4,1
"cv",NA,"model1",1,160,83,6,3,5,0,NA,NA
"bic",NA,"model1",1,160,83,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,83,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,83,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,160,83,NA,2,5,1,7,1
"cv",NA,"model1",1,160,84,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,84,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,84,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,84,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,160,84,NA,2,5,1,5,1
"cv",NA,"model1",1,160,85,13,3,5,0,NA,NA
"bic",NA,"model1",1,160,85,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,85,5,2,5,1,7,NA
"cvc_pmax",0.05,"model1",1,160,85,5,2,5,1,2,1
"cvc_frac",0.05,"model1",1,160,85,NA,2,5,1,2,1
"cv",NA,"model1",1,160,86,13,3,5,0,NA,NA
"bic",NA,"model1",1,160,86,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,86,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,86,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,86,NA,2,5,1,8,1
"cv",NA,"model1",1,160,87,14,4,5,0,NA,NA
"bic",NA,"model1",1,160,87,6,3,5,0,NA,NA
"fy",0.05,"model1",1,160,87,6,3,5,0,4,NA
"cvc_pmax",0.05,"model1",1,160,87,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,87,NA,2,5,1,8,1
"cv",NA,"model1",1,160,88,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,88,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,88,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,88,5,2,5,1,2,1
"cvc_frac",0.05,"model1",1,160,88,NA,2,5,1,2,1
"cv",NA,"model1",1,160,89,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,89,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,89,5,2,5,1,7,NA
"cvc_pmax",0.05,"model1",1,160,89,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,89,NA,2,5,1,8,1
"cv",NA,"model1",1,160,90,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,90,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,90,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,90,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,90,NA,2,5,1,8,1
"cv",NA,"model1",1,160,91,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,91,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,91,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,91,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,91,NA,2,5,1,8,1
"cv",NA,"model1",1,160,92,6,3,5,0,NA,NA
"bic",NA,"model1",1,160,92,6,3,5,0,NA,NA
"fy",0.05,"model1",1,160,92,5,2,5,1,5,NA
"cvc_pmax",0.05,"model1",1,160,92,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,92,NA,2,5,1,8,1
"cv",NA,"model1",1,160,93,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,93,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,93,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,93,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,160,93,NA,2,5,1,7,1
"cv",NA,"model1",1,160,94,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,94,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,94,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,94,5,2,5,1,2,1
"cvc_frac",0.05,"model1",1,160,94,NA,2,5,1,2,1
"cv",NA,"model1",1,160,95,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,95,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,95,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,95,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,160,95,NA,2,5,1,4,1
"cv",NA,"model1",1,160,96,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,96,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,96,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,96,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,96,NA,2,5,1,8,1
"cv",NA,"model1",1,160,97,7,3,5,0,NA,NA
"bic",NA,"model1",1,160,97,15,4,5,0,NA,NA
"fy",0.05,"model1",1,160,97,15,4,5,0,2,NA
"cvc_pmax",0.05,"model1",1,160,97,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,97,NA,2,5,1,8,1
"cv",NA,"model1",1,160,98,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,98,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,98,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,98,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,98,NA,2,5,1,8,1
"cv",NA,"model1",1,160,99,8,4,5,0,NA,NA
"bic",NA,"model1",1,160,99,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,99,5,2,5,1,7,NA
"cvc_pmax",0.05,"model1",1,160,99,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,99,NA,2,5,1,8,1
"cv",NA,"model1",1,160,100,5,2,5,1,NA,NA
"bic",NA,"model1",1,160,100,5,2,5,1,NA,NA
"fy",0.05,"model1",1,160,100,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,160,100,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,160,100,NA,2,5,1,8,1
"cv",NA,"model1",1,320,1,13,3,5,0,NA,NA
"bic",NA,"model1",1,320,1,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,1,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,1,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,1,NA,2,5,1,8,1
"cv",NA,"model1",1,320,2,6,3,5,0,NA,NA
"bic",NA,"model1",1,320,2,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,2,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,2,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,2,NA,2,5,1,8,1
"cv",NA,"model1",1,320,3,6,3,5,0,NA,NA
"bic",NA,"model1",1,320,3,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,3,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,3,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,320,3,NA,2,5,1,4,1
"cv",NA,"model1",1,320,4,5,2,5,1,NA,NA
"bic",NA,"model1",1,320,4,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,4,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,4,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,320,4,NA,2,5,1,4,1
"cv",NA,"model1",1,320,5,7,3,5,0,NA,NA
"bic",NA,"model1",1,320,5,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,5,5,2,5,1,6,NA
"cvc_pmax",0.05,"model1",1,320,5,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,5,NA,2,5,1,8,1
"cv",NA,"model1",1,320,6,6,3,5,0,NA,NA
"bic",NA,"model1",1,320,6,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,6,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,6,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,6,NA,2,5,1,8,1
"cv",NA,"model1",1,320,7,5,2,5,1,NA,NA
"bic",NA,"model1",1,320,7,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,7,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,7,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,7,NA,2,5,1,8,1
"cv",NA,"model1",1,320,8,13,3,5,0,NA,NA
"bic",NA,"model1",1,320,8,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,8,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,8,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,8,NA,2,5,1,8,1
"cv",NA,"model1",1,320,9,5,2,5,1,NA,NA
"bic",NA,"model1",1,320,9,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,9,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,9,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,9,NA,2,5,1,8,1
"cv",NA,"model1",1,320,10,13,3,5,0,NA,NA
"bic",NA,"model1",1,320,10,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,10,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,10,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,10,NA,2,5,1,8,1
"cv",NA,"model1",1,320,11,5,2,5,1,NA,NA
"bic",NA,"model1",1,320,11,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,11,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,11,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,320,11,NA,2,5,1,4,1
"cv",NA,"model1",1,320,12,13,3,5,0,NA,NA
"bic",NA,"model1",1,320,12,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,12,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,12,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,12,NA,2,5,1,8,1
"cv",NA,"model1",1,320,13,6,3,5,0,NA,NA
"bic",NA,"model1",1,320,13,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,13,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,13,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,13,NA,2,5,1,8,1
"cv",NA,"model1",1,320,14,5,2,5,1,NA,NA
"bic",NA,"model1",1,320,14,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,14,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,14,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,14,NA,2,5,1,8,1
"cv",NA,"model1",1,320,15,7,3,5,0,NA,NA
"bic",NA,"model1",1,320,15,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,15,5,2,5,1,7,NA
"cvc_pmax",0.05,"model1",1,320,15,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,15,NA,2,5,1,8,1
"cv",NA,"model1",1,320,16,8,4,5,0,NA,NA
"bic",NA,"model1",1,320,16,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,16,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,16,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,16,NA,2,5,1,8,1
"cv",NA,"model1",1,320,17,5,2,5,1,NA,NA
"bic",NA,"model1",1,320,17,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,17,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,17,5,2,5,1,2,1
"cvc_frac",0.05,"model1",1,320,17,NA,2,5,1,2,1
"cv",NA,"model1",1,320,18,16,5,5,0,NA,NA
"bic",NA,"model1",1,320,18,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,18,13,3,5,0,4,NA
"cvc_pmax",0.05,"model1",1,320,18,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,18,NA,2,5,1,8,1
"cv",NA,"model1",1,320,19,5,2,5,1,NA,NA
"bic",NA,"model1",1,320,19,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,19,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,19,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,19,NA,2,5,1,8,1
"cv",NA,"model1",1,320,20,13,3,5,0,NA,NA
"bic",NA,"model1",1,320,20,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,20,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,20,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,20,NA,2,5,1,8,1
"cv",NA,"model1",1,320,21,13,3,5,0,NA,NA
"bic",NA,"model1",1,320,21,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,21,5,2,5,1,7,NA
"cvc_pmax",0.05,"model1",1,320,21,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,21,NA,2,5,1,8,1
"cv",NA,"model1",1,320,22,5,2,5,1,NA,NA
"bic",NA,"model1",1,320,22,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,22,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,22,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,320,22,NA,2,5,1,4,1
"cv",NA,"model1",1,320,23,13,3,5,0,NA,NA
"bic",NA,"model1",1,320,23,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,23,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,23,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,23,NA,2,5,1,8,1
"cv",NA,"model1",1,320,24,5,2,5,1,NA,NA
"bic",NA,"model1",1,320,24,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,24,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,24,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,320,24,NA,2,5,1,4,1
"cv",NA,"model1",1,320,25,5,2,5,1,NA,NA
"bic",NA,"model1",1,320,25,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,25,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,25,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,320,25,NA,2,5,1,4,1
"cv",NA,"model1",1,320,26,13,3,5,0,NA,NA
"bic",NA,"model1",1,320,26,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,26,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,26,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,26,NA,2,5,1,8,1
"cv",NA,"model1",1,320,27,14,4,5,0,NA,NA
"bic",NA,"model1",1,320,27,6,3,5,0,NA,NA
"fy",0.05,"model1",1,320,27,6,3,5,0,4,NA
"cvc_pmax",0.05,"model1",1,320,27,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,320,27,NA,2,5,1,8,1
"cv",NA,"model1",1,320,28,5,2,5,1,NA,NA
"bic",NA,"model1",1,320,28,5,2,5,1,NA,NA
"fy",0.05,"model1",1,320,28,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,320,28,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,320,28,NA,2,5,1,4,1
"cv",NA,"model1",1,320,29,7,3,5,0,NA,NA
