"method","alpha","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct","acv_size","tie_size_min"
"bic",NA,"model1",1,40,20,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,20,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,20,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,40,20,NA,2,5,1,6,1
"cv",NA,"model1",1,40,21,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,21,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,21,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,21,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,21,NA,2,5,1,8,1
"cv",NA,"model1",1,40,22,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,22,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,22,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,22,5,2,5,1,2,1
"cvc_frac",0.05,"model1",1,40,22,NA,2,5,1,2,1
"cv",NA,"model1",1,40,23,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,23,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,23,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,23,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,40,23,NA,2,5,1,6,1
"cv",NA,"model1",1,40,24,8,4,5,0,NA,NA
"bic",NA,"model1",1,40,24,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,24,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,24,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,24,NA,2,5,1,8,1
"cv",NA,"model1",1,40,25,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,25,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,25,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,25,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,25,NA,2,5,1,8,1
"cv",NA,"model1",1,40,26,13,3,5,0,NA,NA
"bic",NA,"model1",1,40,26,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,26,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,26,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,40,26,NA,2,5,1,6,1
"cv",NA,"model1",1,40,27,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,27,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,27,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,27,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,40,27,NA,2,5,1,4,1
"cv",NA,"model1",1,40,28,13,3,5,0,NA,NA
"bic",NA,"model1",1,40,28,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,28,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,28,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,40,28,NA,2,5,1,5,1
"cv",NA,"model1",1,40,29,6,3,5,0,NA,NA
"bic",NA,"model1",1,40,29,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,29,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,29,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,40,29,NA,2,5,1,4,1
"cv",NA,"model1",1,40,30,13,3,5,0,NA,NA
"bic",NA,"model1",1,40,30,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,30,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,30,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,30,NA,2,5,1,8,1
"cv",NA,"model1",1,40,31,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,31,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,31,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,31,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,40,31,NA,2,5,1,4,1
"cv",NA,"model1",1,40,32,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,32,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,32,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,32,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,40,32,NA,2,5,1,4,1
"cv",NA,"model1",1,40,33,8,4,5,0,NA,NA
"bic",NA,"model1",1,40,33,7,3,5,0,NA,NA
"fy",0.05,"model1",1,40,33,5,2,5,1,7,NA
"cvc_pmax",0.05,"model1",1,40,33,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,33,NA,2,5,1,8,1
"cv",NA,"model1",1,40,34,8,4,5,0,NA,NA
"bic",NA,"model1",1,40,34,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,34,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,34,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,34,NA,2,5,1,8,1
"cv",NA,"model1",1,40,35,6,3,5,0,NA,NA
"bic",NA,"model1",1,40,35,5,2,5,1,NA,NA
