"scenario","lambda","cv_mse_mean","cv_mse_sd","true_fdr_mean","true_fdr_sd","est_fdr_mean","est_fdr_sd"
"independent",0.106423691554815,1.31094525251309,0.0688646798095018,0.124423173944163,0.068491431722407,0.0366727556304851,0.0434272641122427
"independent",0.0975132510398305,1.27209883443804,0.0690369911003844,0.177342075524815,0.0722350518851621,0.0579963225107051,0.0497576905469989
"independent",0.089348846947856,1.24062984549923,0.0694656551696199,0.239834717645957,0.0702676940653623,0.0918033917859885,0.0570309717359148
"independent",0.0818680165596217,1.21540172772012,0.070101170732026,0.308706721328149,0.0697289860836349,0.136462566894949,0.0665567483049363
"independent",0.0750135269156635,1.1956219770674,0.0709536387611182,0.381401948067187,0.0663634369584394,0.188491099218961,0.0712489353179012
"independent",0.0687329369489366,1.18056821378609,0.0720202246317864,0.445099457655821,0.0610317650563618,0.238881147942922,0.072219046605349
"independent",0.0629781962783572,1.16957599676321,0.0731201547667484,0.510805740164844,0.0506706272790899,0.298158188120229,0.0717259702328489
"independent",0.0577052775937964,1.16224495384495,0.0743106473497147,0.565088666991661,0.0446390351084108,0.354341801344487,0.0743149815054682
"independent",0.0528738398200432,1.15808407266387,0.0755096554683447,0.612505766193993,0.0387460868664602,0.40890934727309,0.0745088096703624
"independent",0.048446919482736,1.15682218775822,0.0767880552622221,0.653879645566638,0.0333129266137211,0.459694463656759,0.0761845621858376
"independent",0.04439064791502,1.15808733522298,0.078134556070789,0.687399726879722,0.0288728121285605,0.507989785694849,0.0705991157352855
"independent",0.0406739921413883,1.16156608712567,0.0795607542348487,0.716424284914304,0.0245359142599945,0.550826722736356,0.0688617576547774
"independent",0.0372685174563073,1.16710776193987,0.0811534200942609,0.741519483543165,0.0206046990434509,0.590667867512061,0.0653553958940745
"independent",0.0341481698812089,1.17459180529814,0.0829667891888983,0.761616800346262,0.0178092388024573,0.625741136921191,0.0635348589830973
"independent",0.0312890768355088,1.18384306860763,0.0849471978222015,0.77869965137537,0.0163348578973243,0.656883718598496,0.060712945620298
"independent",0.0286693644966638,1.19464441136333,0.0869616033497088,0.79383491058043,0.0140959451667442,0.685269075003604,0.057666087827555
"independent",0.0262689904519582,1.20683859998786,0.088980230201112,0.805759373238561,0.0123730939375785,0.708629004139475,0.0550136600682492
"independent",0.0240695903617038,1.22025518794628,0.0911071274125354,0.816816339684416,0.0110220313190974,0.73127233844725,0.0510720267694939
"independent",0.0220543374607316,1.23478120295134,0.0933266812631656,0.826113587841572,0.00975018843477425,0.749975732408847,0.0488943738719584
"independent",0.020207813823276,1.25020436177368,0.0955993880916954,0.834314627971683,0.00848718957682807,0.766876278903648,0.0461847267192906
"independent",0.0185158924063475,1.26634757558946,0.0978132688560243,0.841725760077561,0.00773430488797924,0.782087975302161,0.0447774279849433
"independent",0.0169656289691538,1.28312575627302,0.0999790537790067,0.847672385614953,0.00711529289788434,0.794434368930761,0.0430327171480997
"independent",0.0155451630416861,1.30032318918559,0.102230513513593,0.853404553277874,0.00635993504215997,0.806242365267031,0.0416244427402197
"independent",0.0142436271848197,1.31781570867526,0.104427174730134,0.858275672206249,0.00610614445186695,0.816339042532701,0.0404527209097916
"independent",0.0130510638477118,1.3354414771896,0.106525150238318,0.862700374062557,0.00578893105730582,0.825539040680079,0.0390951154291896
"independent",0.0119583491864054,1.35327061415606,0.108640436363679,0.866552414148223,0.0054307303943422,0.833522540841714,0.0380994402056782
"independent",0.0109571232608041,1.37094121823866,0.11059035366039,0.869911671491163,0.00512550536870112,0.840534631090751,0.0368743921971755
"independent",0.0100397260759821,1.3885354157735,0.112594531190122,0.873014934891747,0.00465866090018688,0.846997467059577,0.0357397063403255
"independent",0.00919913897850576,1.40584611375974,0.114534477274763,0.875720939023462,0.00440777808138208,0.852658060234993,0.0345693472772558
"independent",0.00842893095941227,1.42288589207324,0.116410549171376,0.878164509790556,0.00403132956223534,0.857694180017798,0.0340983353742904
"independent",0.00772320945303067,1.43944403775643,0.118226063596239,0.880261596040726,0.00376562316934085,0.862000975687061,0.0338419274083949
"independent",0.00707657525522565,1.45563547979421,0.119979635936088,0.882250245702301,0.00336962291969115,0.866104733816669,0.0333553522990971
