"scenario","rep","method","idx","lambda","cv_mse","true_fdr","est_fdr"
"independent",56,"cvc_max_lambda",39,0.0577052775937964,1.23706616027423,0.574468085106383,0.425531914893617
"independent",57,"cv_min",40,0.0528738398200432,1.1932481035832,0.622641509433962,0.50314465408805
"independent",57,"cv_1se",35,0.0818680165596217,1.23335047543772,0.2,0.177777777777778
"independent",57,"cvc_max_lambda",38,0.0629781962783572,1.19896578093339,0.51219512195122,0.40650406504065
"independent",58,"cv_min",40,0.0528738398200432,1.15332123538427,0.545454545454545,0.378787878787879
"independent",58,"cv_1se",34,0.089348846947856,1.23141505058942,0.230769230769231,0.128205128205128
"independent",58,"cvc_max_lambda",38,0.0629781962783572,1.16066431805079,0.411764705882353,0.228758169934641
"independent",59,"cv_min",42,0.04439064791502,1.07520023556875,0.696969696969697,0.538720538720539
"independent",59,"cv_1se",38,0.0629781962783572,1.10385855164975,0.555555555555556,0.345679012345679
"independent",59,"cvc_max_lambda",40,0.0528738398200432,1.08434143313957,0.666666666666667,0.5
"independent",60,"cv_min",43,0.0406739921413883,1.14265754230397,0.74025974025974,0.533910533910534
"independent",60,"cv_1se",35,0.0818680165596217,1.19897524614086,0.285714285714286,0.0793650793650794
"independent",60,"cvc_max_lambda",38,0.0629781962783572,1.15583334411996,0.51219512195122,0.2710027100271
"independent",61,"cv_min",41,0.048446919482736,1.11797320730443,0.672131147540984,0.455373406193078
"independent",61,"cv_1se",37,0.0687329369489366,1.14285355463233,0.51219512195122,0.35230352303523
"independent",61,"cvc_max_lambda",39,0.0577052775937964,1.12177238710343,0.555555555555556,0.345679012345679
"independent",62,"cv_min",40,0.0528738398200432,1.11366851342756,0.555555555555556,0.320987654320988
"independent",62,"cv_1se",34,0.089348846947856,1.18563392321566,0.285714285714286,0.158730158730159
"independent",62,"cvc_max_lambda",38,0.0629781962783572,1.12133720964678,0.444444444444444,0.216049382716049
"independent",63,"cv_min",41,0.048446919482736,1.06647521529741,0.636363636363636,0.424242424242424
"independent",63,"cv_1se",35,0.0818680165596217,1.1173122723099,0.310344827586207,0.153256704980843
"independent",63,"cvc_max_lambda",40,0.0528738398200432,1.06735277527369,0.6,0.355555555555556
"independent",64,"cv_min",43,0.0406739921413883,1.0547666032941,0.705882352941177,0.457516339869281
"independent",64,"cv_1se",35,0.0818680165596217,1.14730953326292,0.375,0.173611111111111
"independent",64,"cvc_max_lambda",39,0.0577052775937964,1.07603965117392,0.555555555555556,0.271604938271605
"independent",65,"cv_min",41,0.048446919482736,1.08725502778066,0.62962962962963,0.473251028806584
"independent",65,"cv_1se",35,0.0818680165596217,1.1450421528025,0.230769230769231,0.0854700854700855
"independent",65,"cvc_max_lambda",39,0.0577052775937964,1.09017576813651,0.523809523809524,0.343915343915344
"independent",66,"cv_min",42,0.04439064791502,1.18724833406605,0.705882352941177,0.457516339869281
