"method","alpha","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct","acv_size","tie_size_min"
"fy",0.05,"model1",1,80,4,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,80,4,5,2,5,1,2,1
"cvc_frac",0.05,"model1",1,80,4,NA,2,5,1,2,1
"cv",NA,"model1",1,80,5,7,3,5,0,NA,NA
"bic",NA,"model1",1,80,5,5,2,5,1,NA,NA
"fy",0.05,"model1",1,80,5,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,80,5,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,80,5,NA,2,5,1,8,1
"cv",NA,"model1",1,80,6,7,3,5,0,NA,NA
"bic",NA,"model1",1,80,6,7,3,5,0,NA,NA
"fy",0.05,"model1",1,80,6,5,2,5,1,6,NA
"cvc_pmax",0.05,"model1",1,80,6,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,80,6,NA,2,5,1,8,1
"cv",NA,"model1",1,80,7,13,3,5,0,NA,NA
"bic",NA,"model1",1,80,7,5,2,5,1,NA,NA
"fy",0.05,"model1",1,80,7,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,80,7,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,80,7,NA,2,5,1,7,1
"cv",NA,"model1",1,80,8,8,4,5,0,NA,NA
"bic",NA,"model1",1,80,8,5,2,5,1,NA,NA
"fy",0.05,"model1",1,80,8,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,80,8,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,80,8,NA,2,5,1,8,1
"cv",NA,"model1",1,80,9,14,4,5,0,NA,NA
"bic",NA,"model1",1,80,9,5,2,5,1,NA,NA
"fy",0.05,"model1",1,80,9,5,2,5,1,6,NA
"cvc_pmax",0.05,"model1",1,80,9,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,80,9,NA,2,5,1,8,1
"cv",NA,"model1",1,80,10,15,4,5,0,NA,NA
"bic",NA,"model1",1,80,10,5,2,5,1,NA,NA
"fy",0.05,"model1",1,80,10,5,2,5,1,7,NA
"cvc_pmax",0.05,"model1",1,80,10,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,80,10,NA,2,5,1,4,1
"cv",NA,"model1",4,40,1,5,2,5,1,NA,NA
"bic",NA,"model1",4,40,1,5,2,5,1,NA,NA
"fy",0.05,"model1",4,40,1,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,40,1,5,2,5,1,8,1
"cvc_frac",0.05,"model1",4,40,1,NA,2,5,1,8,1
"cv",NA,"model1",4,40,2,5,2,5,1,NA,NA
"bic",NA,"model1",4,40,2,5,2,5,1,NA,NA
"fy",0.05,"model1",4,40,2,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,40,2,5,2,5,1,3,1
"cvc_frac",0.05,"model1",4,40,2,NA,2,5,1,3,1
"cv",NA,"model1",4,40,3,5,2,5,1,NA,NA
"bic",NA,"model1",4,40,3,5,2,5,1,NA,NA
"fy",0.05,"model1",4,40,3,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,40,3,5,2,5,1,7,1
"cvc_frac",0.05,"model1",4,40,3,NA,2,5,1,7,1
"cv",NA,"model1",4,40,4,8,4,5,0,NA,NA
"bic",NA,"model1",4,40,4,5,2,5,1,NA,NA
"fy",0.05,"model1",4,40,4,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,40,4,5,2,5,1,8,1
"cvc_frac",0.05,"model1",4,40,4,NA,2,5,1,8,1
"cv",NA,"model1",4,40,5,5,2,5,1,NA,NA
"bic",NA,"model1",4,40,5,5,2,5,1,NA,NA
"fy",0.05,"model1",4,40,5,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,40,5,5,2,5,1,8,1
"cvc_frac",0.05,"model1",4,40,5,NA,2,5,1,8,1
"cv",NA,"model1",4,40,6,13,3,5,0,NA,NA
"bic",NA,"model1",4,40,6,5,2,5,1,NA,NA
"fy",0.05,"model1",4,40,6,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,40,6,5,2,5,1,5,1
"cvc_frac",0.05,"model1",4,40,6,NA,2,5,1,5,1
"cv",NA,"model1",4,40,7,5,2,5,1,NA,NA
"bic",NA,"model1",4,40,7,5,2,5,1,NA,NA
"fy",0.05,"model1",4,40,7,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,40,7,5,2,5,1,4,1
"cvc_frac",0.05,"model1",4,40,7,NA,2,5,1,4,1
"cv",NA,"model1",4,40,8,13,3,5,0,NA,NA
"bic",NA,"model1",4,40,8,5,2,5,1,NA,NA
"fy",0.05,"model1",4,40,8,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,40,8,5,2,5,1,4,1
"cvc_frac",0.05,"model1",4,40,8,NA,2,5,1,4,1
"cv",NA,"model1",4,40,9,6,3,5,0,NA,NA
"bic",NA,"model1",4,40,9,5,2,5,1,NA,NA
"fy",0.05,"model1",4,40,9,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,40,9,5,2,5,1,4,1
"cvc_frac",0.05,"model1",4,40,9,NA,2,5,1,4,1
"cv",NA,"model1",4,40,10,13,3,5,0,NA,NA
"bic",NA,"model1",4,40,10,5,2,5,1,NA,NA
"fy",0.05,"model1",4,40,10,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,40,10,5,2,5,1,8,1
"cvc_frac",0.05,"model1",4,40,10,NA,2,5,1,8,1
"cv",NA,"model1",4,80,1,7,3,5,0,NA,NA
"bic",NA,"model1",4,80,1,5,2,5,1,NA,NA
"fy",0.05,"model1",4,80,1,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,80,1,5,2,5,1,8,1
"cvc_frac",0.05,"model1",4,80,1,NA,2,5,1,8,1
"cv",NA,"model1",4,80,2,5,2,5,1,NA,NA
"bic",NA,"model1",4,80,2,5,2,5,1,NA,NA
"fy",0.05,"model1",4,80,2,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,80,2,5,2,5,1,6,1
"cvc_frac",0.05,"model1",4,80,2,NA,2,5,1,6,1
"cv",NA,"model1",4,80,3,6,3,5,0,NA,NA
"bic",NA,"model1",4,80,3,5,2,5,1,NA,NA
"fy",0.05,"model1",4,80,3,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,80,3,5,2,5,1,8,1
"cvc_frac",0.05,"model1",4,80,3,NA,2,5,1,8,1
"cv",NA,"model1",4,80,4,13,3,5,0,NA,NA
"bic",NA,"model1",4,80,4,5,2,5,1,NA,NA
"fy",0.05,"model1",4,80,4,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,80,4,5,2,5,1,8,1
"cvc_frac",0.05,"model1",4,80,4,NA,2,5,1,8,1
"cv",NA,"model1",4,80,5,7,3,5,0,NA,NA
"bic",NA,"model1",4,80,5,7,3,5,0,NA,NA
"fy",0.05,"model1",4,80,5,5,2,5,1,7,NA
"cvc_pmax",0.05,"model1",4,80,5,5,2,5,1,6,1
"cvc_frac",0.05,"model1",4,80,5,NA,2,5,1,6,1
"cv",NA,"model1",4,80,6,6,3,5,0,NA,NA
"bic",NA,"model1",4,80,6,5,2,5,1,NA,NA
"fy",0.05,"model1",4,80,6,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,80,6,5,2,5,1,8,1
"cvc_frac",0.05,"model1",4,80,6,NA,2,5,1,8,1
"cv",NA,"model1",4,80,7,5,2,5,1,NA,NA
"bic",NA,"model1",4,80,7,5,2,5,1,NA,NA
"fy",0.05,"model1",4,80,7,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,80,7,5,2,5,1,4,1
"cvc_frac",0.05,"model1",4,80,7,NA,2,5,1,4,1
"cv",NA,"model1",4,80,8,6,3,5,0,NA,NA
"bic",NA,"model1",4,80,8,5,2,5,1,NA,NA
"fy",0.05,"model1",4,80,8,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,80,8,5,2,5,1,8,1
"cvc_frac",0.05,"model1",4,80,8,NA,2,5,1,8,1
"cv",NA,"model1",4,80,9,15,4,5,0,NA,NA
"bic",NA,"model1",4,80,9,5,2,5,1,NA,NA
"fy",0.05,"model1",4,80,9,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,80,9,5,2,5,1,7,1
"cvc_frac",0.05,"model1",4,80,9,NA,2,5,1,7,1
"cv",NA,"model1",4,80,10,5,2,5,1,NA,NA
"bic",NA,"model1",4,80,10,5,2,5,1,NA,NA
"fy",0.05,"model1",4,80,10,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",4,80,10,5,2,5,1,8,1
"cvc_frac",0.05,"model1",4,80,10,NA,2,5,1,8,1
"cv",NA,"model2",1,40,1,16,5,14,0,NA,NA
"bic",NA,"model2",1,40,1,16,5,14,0,NA,NA
"fy",0.05,"model2",1,40,1,16,5,14,0,1,NA
"cvc_pmax",0.05,"model2",1,40,1,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,40,1,NA,4,14,1,2,1
"cv",NA,"model2",1,40,2,14,4,14,1,NA,NA
"bic",NA,"model2",1,40,2,14,4,14,1,NA,NA
"fy",0.05,"model2",1,40,2,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,40,2,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,40,2,NA,4,14,1,2,1
"cv",NA,"model2",1,40,3,14,4,14,1,NA,NA
"bic",NA,"model2",1,40,3,14,4,14,1,NA,NA
"fy",0.05,"model2",1,40,3,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,40,3,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,40,3,NA,4,14,1,2,1
"cv",NA,"model2",1,40,4,14,4,14,1,NA,NA
"bic",NA,"model2",1,40,4,14,4,14,1,NA,NA
"fy",0.05,"model2",1,40,4,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,40,4,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,40,4,NA,4,14,1,2,1
"cv",NA,"model2",1,40,5,14,4,14,1,NA,NA
"bic",NA,"model2",1,40,5,14,4,14,1,NA,NA
"fy",0.05,"model2",1,40,5,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,40,5,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,40,5,NA,4,14,1,2,1
"cv",NA,"model2",1,40,6,16,5,14,0,NA,NA
"bic",NA,"model2",1,40,6,14,4,14,1,NA,NA
"fy",0.05,"model2",1,40,6,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,40,6,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,40,6,NA,4,14,1,2,1
"cv",NA,"model2",1,40,7,14,4,14,1,NA,NA
"bic",NA,"model2",1,40,7,14,4,14,1,NA,NA
"fy",0.05,"model2",1,40,7,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,40,7,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,40,7,NA,4,14,1,2,1
"cv",NA,"model2",1,40,8,14,4,14,1,NA,NA
"bic",NA,"model2",1,40,8,14,4,14,1,NA,NA
"fy",0.05,"model2",1,40,8,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,40,8,14,4,14,1,1,1
"cvc_frac",0.05,"model2",1,40,8,NA,4,14,1,1,1
"cv",NA,"model2",1,40,9,16,5,14,0,NA,NA
"bic",NA,"model2",1,40,9,14,4,14,1,NA,NA
"fy",0.05,"model2",1,40,9,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,40,9,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,40,9,NA,4,14,1,2,1
"cv",NA,"model2",1,40,10,14,4,14,1,NA,NA
"bic",NA,"model2",1,40,10,14,4,14,1,NA,NA
"fy",0.05,"model2",1,40,10,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,40,10,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,40,10,NA,4,14,1,2,1
"cv",NA,"model2",1,80,1,14,4,14,1,NA,NA
"bic",NA,"model2",1,80,1,14,4,14,1,NA,NA
"fy",0.05,"model2",1,80,1,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,80,1,14,4,14,1,1,1
"cvc_frac",0.05,"model2",1,80,1,NA,4,14,1,1,1
"cv",NA,"model2",1,80,2,14,4,14,1,NA,NA
"bic",NA,"model2",1,80,2,14,4,14,1,NA,NA
"fy",0.05,"model2",1,80,2,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,80,2,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,80,2,NA,4,14,1,2,1
"cv",NA,"model2",1,80,3,14,4,14,1,NA,NA
"bic",NA,"model2",1,80,3,14,4,14,1,NA,NA
"fy",0.05,"model2",1,80,3,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,80,3,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,80,3,NA,4,14,1,2,1
"cv",NA,"model2",1,80,4,14,4,14,1,NA,NA
"bic",NA,"model2",1,80,4,14,4,14,1,NA,NA
"fy",0.05,"model2",1,80,4,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,80,4,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,80,4,NA,4,14,1,2,1
"cv",NA,"model2",1,80,5,16,5,14,0,NA,NA
"bic",NA,"model2",1,80,5,14,4,14,1,NA,NA
"fy",0.05,"model2",1,80,5,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,80,5,14,4,14,1,2,1
"cvc_frac",0.05,"model2",1,80,5,NA,4,14,1,2,1
"cv",NA,"model2",1,80,6,14,4,14,1,NA,NA
"bic",NA,"model2",1,80,6,14,4,14,1,NA,NA
"fy",0.05,"model2",1,80,6,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",1,80,6,14,4,14,1,2,1
