"scenario","method","lambda","mse_mean","true_fdr_mean","est_fdr_mean","fdp_mean"
"independent","cv",1.60049200576095,21.1149430495936,0,0,0
"independent","cv",1.46648905393987,21.0872072519887,0,0,0
"independent","cv",1.34370564650397,20.9704780826862,0,0,0
"independent","cv",1.23120241477144,20.6463347312258,0,0,0
"independent","cv",1.12811863973555,20.0245876838931,0,0,0
"independent","cv",1.03366566703415,19.0874609699942,0,0,0
"independent","cv",0.947120873258172,17.8356998643068,0,0,0
"independent","cv",0.867822137437488,16.3338333569617,0,0,0
"independent","cv",0.795162775407741,14.6541702880462,0,0,0
"independent","cv",0.728586898302864,12.892664794131,0,0,0
"independent","cv",0.66758515966292,11.1810261340565,0,0,0
"independent","cv",0.611690858620008,9.61439210500916,0,0,0
"independent","cv",0.560476369349204,8.25231420052197,0,0,0
"independent","cv",0.513549869467659,7.09739126060451,0,0,0
"independent","cv",0.470552342352066,6.1259064060612,0,0,0
"independent","cv",0.431154830440396,5.31014331524257,0,0,0
"independent","cv",0.395055918503962,4.62525671725526,0,0,0
"independent","cv",0.3619794276353,4.05025343718565,0,0,0
"independent","cv",0.33167230230944,3.56750775263825,0,0,0
"independent","cv",0.303902674353299,3.16223064082138,0,0,0
"independent","cv",0.278458089011369,2.82199741982279,0,0,0
"independent","cv",0.25514387953599,2.53638159571495,0,0,0
"independent","cv",0.233781677866854,2.29665595560564,0.000476190476190476,0.000529100529100529,0.000476190476190476
"independent","cv",0.214208050005496,2.09547391670257,0.00116883116883117,0.000781625781625782,0.00116883116883117
"independent","cv",0.196273245644555,1.9267183429485,0.00329004329004329,0.00103415103415103,0.00329004329004329
"independent","cv",0.179840052485699,1.7851724846427,0.00614718614718615,0.0012987012987013,0.00614718614718615
"independent","cv",0.164782746481047,1.66660004841643,0.0103679653679654,0.00234487734487734,0.0103679653679654
"independent","cv",0.150986129966773,1.56740505408427,0.0172214379823075,0.00515977581194972,0.0172214379823075
"independent","cv",0.138344650330035,1.48457704525166,0.0300978731413514,0.00759196520066085,0.0300978731413514
"independent","cv",0.126761592466485,1.41557537361005,0.050659022137283,0.0123665585622107,0.050659022137283
